ProductNumber	ProductDescription	Line	ProdId	Revenue	MarginPct	ListPrice	Cost	Volume	Products
12093	52 Inch Cameron Fan	Decorative Fans	11331	104	0.817834217104258	818.834085103688	149.163552174632	4	1
12009	52 Inch Bentzen Fan	Builder Fans	11651	98	0.773386373626171	564.195875324942	127.854473292542	2	1
15328	56 Inch Highland Manor Fan	Decorative Fans	1647	96	0.835866987754955	978.704219068706	160.637671572681	12	1
12045	42 Inch Rivetta II Fan	Decorative Fans	3985	80	0.852711691215049	389.512225807463	57.3705969902431	2	1
11982	30 Inch Canfield Fan	Builder Fans	4241	75	0.329431215607414	109.999448001636	73.7621961303126	5	1
11997	52 Inch Cortez Fan	Decorative Fans	3823	75	0.809644553845984	783.605382395753	149.163552174632	10	1
11972	54 Inch Bellamy Fan	Decorative Fans	1787	69.52	0.817740777516899	849.891762750271	154.900611873656	11	1
11973	54 Inch Bellamy Fan	Decorative Fans	4594	62	0.558709596707425	351.017404226118	154.900611873656	1	1
12289	42 Inch Sutter Place Select Fa	Builder Fans	17067	58	0.823094520205721	324.300847305344	57.3705969902431	3	1
12355	52 Inch Sutter Place Select Fa	Builder Fans	8298	58	0.773386373626171	564.195875324942	127.854473292542	2	1
12088	52 Inch Monarch II Patio Fan	Builder Fans	2807	51	0.789048251429487	606.083970191908	127.854473292542	4	1
12372	52 Inch Saxon Premier Fan	Builder Fans	4963	50	0.773386373626171	564.195875324942	127.854473292542	50	1
15320	48 Inch Celino Fan	Decorative Fans	10841	48.93	0.777178052930903	617.934788685271	137.689432776583	7	1
12360	52 Inch Monarch II Select Fan	Builder Fans	1846	48.75	0.773386373626171	564.195875324942	127.854473292542	1	1
12293	42 Inch Sutter Place Select Fa	Builder Fans	9294	47	0.652628545513133	297.281406542119	103.267074582438	1	1
12091	52 Inch Cameron Fan	Decorative Fans	6353	44	0.814987233911899	806.233836337555	149.163552174632	4	1
11970	56 Inch Hatteras Bay Fan	Decorative Fans	9497	43.25	0.823062633741081	907.878731152883	160.637671572681	3	1
11953	54 Inch Wilton Fan	Decorative Fans	825	42	0.915944685087129	877.543510565294	73.7621961303126	3	1
12051	52 Inch Dorset II Fan	Decorative Fans	13849	42	0.827341335474855	863.92161427212	149.163552174632	2	1
15361	52 Inch Walker fan	Decorative Fans	5341	39	0.818613751551752	822.353146673026	149.163552174632	3	1
12069	60 Inch Ferron Fan	Decorative Fans	3164	35	0.923154587384572	1066.53075194618	81.9579957003473	5	1
11975	52 Inch Kittery Point Fan	Decorative Fans	16418	33	0.802453986493532	755.082573052016	149.163552174632	1	1
12030	52 Inch Carlson Fan	Decorative Fans	1883	29	0.787725865914069	702.693019179855	149.163552174632	1	1
15441	52 Inch Sutter Place Fan	Builder Fans	2082	26	0.765431888904506	545.063319542577	127.854473292542	2	1
12361	52 Inch Monarch II Select Fan	Builder Fans	8014	23.95	0.773386373626171	564.195875324942	127.854473292542	1	1
12362	52 Inch Monarch II Select Fan	Builder Fans	10337	21	0.767833918300801	550.702636478113	127.854473292542	1	1
12082	44 Inch Hatteras Bay Patio Fan	Decorative Fans	14986	20	0.74471501470609	494.409466476154	126.215313378535	2	1
12095	52 Inch Deckard Fan	Decorative Fans	19390	18	0.800005068057163	745.836660587311	149.163552174632	3	1
12333	52 Inch Monarch II Fan	Builder Fans	699	15	0.781011167153849	583.840151257234	127.854473292542	3	1
11996	52 Inch Lucia Fan	Decorative Fans	6654	15	0.834049431243928	898.843271781039	149.163552174632	1	1
12074	54 Inch Brinbourne Fan	Decorative Fans	19571	12	0.907589804142403	798.20408825861	73.7621961303126	1	1
12146	52 Inch Crystal Bay Climates	Decorative Fans	414	10	0.819747798133467	827.526935205372	149.163552174632	2	1
300021OBB	56 Inch Ceres Fan	NULL	11914	8.08	0.814344164629673	412.021142065055	76.4941293203241	1	1
12334	42 Inch Stratmoor Fan	Builder Fans	2696	8	0.598433988962367	257.160894458172	103.267074582438	1	1
12072	52 Inch Lacey Fan	Decorative Fans	8772	6	0.806188413899444	769.631760287237	149.163552174632	1	1
11959	60 Inch Olympia Fan	Decorative Fans	16163	5	0.605626774508439	436.418549348027	172.111790970729	1	1
12300	52 Inch Canfield Pro Fan	Builder Fans	19490	2.08	0.759073166443511	530.677597863188	127.854473292542	4	1
12105	52 Inch Canfield Patio Fan	Builder Fans	13941	1.16	0.796759472457028	629.079617329318	127.854473292542	1	1
